RecordID;RecordNumber;Journal;Year;Name of main author;Number of co-authors;Number of citations;Years of study;Number of years;Country of study;Spatial scale;Country of lead author (institution);Species / taxa;Taxa group1;Biological organisation;Scope;Study design;Clearly stated hypothesis;Test of existing hypothesis;Test multiple competing hypotheses;Testable predictions ;Generality: taxonomy;Generality: Environmental gradients;Ecological question;Extractor;Reference
47;13;AnimCons;2015;Mortelliti;2;4;1999-2013;15;Australia;Landscape;Australia;Scincidae;Vertebrates;Population;Ecological processes;Quasi experimental;0;0;0;0;0;1;"We chose two skinks (Scincidae) as target species: the southern rainbow skink Carlia tetradactyla and the eastern three-toed earless skink Hemiergis talbingoensis. The aim of our study was to quantify the long-term response of these two target species to the transformation of the matrix surrounding
remnant habitat patches (from agricultural land to
pine plantations).";EBN;"Mortelliti, A., Michael, D.R. & Lindenmayer, D.B. (2015) Contrasting effects of pine plantations on two skinks: results from a large-scale ""natural experiment' in Australia. Animal Conservation, 18, 433-441."
91;119;AnimCons;2014;Lovari;6;15;1972-2010;39;Italy;Landscape;Italy;"Rupicapra pyrenaica ornata; Cervus elaphus";Vertebrates;Population;Ecological processes;Non experimental;2;1;0;1;1;1;"We investigated space and diet overlaps
between red deer and Apennine chamois, and their effects on foraging behaviour
of the latter";DB;Lovari, S., Ferretti, F., Corazza, M., Minder, I., Troiani, N., Ferrari, C. & Saddi, A. (2014) Unexpected consequences of reintroductions: competition between increasing red deer and threatened Apennine chamois. Animal Conservation, 17, 359-370.
7;146;AnimCons;2014;Ghanem;1;2;2010;1;Ecuador;Landscape;Germany;Chiroptera;Vertebrates;Population;Ecological processes;Non experimental;2;0;0;1;0;1;"We investigated
if the loss of larger mammals due to hunting and
disturbance indirectly affects the relative abundance of frugivorous
bats at mineral licks. We expected mineral licks to
show first signs of deterioration in areas with intensive
hunting due to the lack of large mammals that maintain
licks. Accordingly, we expected leaf litter and seedling coverage
to be higher while water availability was expected to
be lower in disrupted compared with natural licks, leading
to a reduced overall accessibility of minerals and soil to
frugivorous bats. Accordingly, we expected to capture fewer
frugivorous bats at disrupted than at natural mineral licks.";EBN;Ghanem, S.J. & Voigt, C.C. (2014) Defaunation of tropical forests reduces habitat quality for seed-dispersing bats in Western Amazonia: an unexpected connection via mineral licks. Animal Conservation, 17, 44-51.
16;194;AnimCons;2013;Espanola;2;5;2000-2010;11;Philippine;Landscape;UK  ;Aves;Vertebrates;Community;Natural history;Non experimental;0;0;0;0;0;0;"Our study assessed the current state of populations of
multiple frugivorous species (pigeons and hornbills as seed
dispersers, parrots as heavily exploited and seriously threatened
seed predators) across Luzon, the largest island in the
Philippines, in order to gauge the potential long-term persistence
for individual species and frugivore communities.
First, we attempted to detect range contractions by comparing
past and current distribution using occurrence data
compiled from the published literature and our field surveys.
Then we estimated population densities at a number of key
sites and compared them with those of related species elsewhere
in Southeast Asia. We then asked whether estimated
populations of frugivores in key protected areas were likely
to be large enough to remain viable in the long term.";EBN;Espanola, C.P., Collar, N.J. & Marsden, S.J. (2013) Are populations of large-bodied avian frugivores on Luzon, Philippines, facing imminent collapse? Animal Conservation, 16, 467-479.
153;317;AnimCons;2011;Goswami;3;7;NA;NA;India;Landscape;India;Elephas maximus;Vertebrates;Population;Methods;Non experimental;0;0;0;0;1;2;"We address these key problems by
describing an automated process of rapidly identifying individual Asian elephants
(Elephas maximus) from photographs, and comparing resultant CR-based population
parameter estimates with those obtained using supervised visual identification
of individuals";DB;Goswami, V.R., Lauretta, M.V., Madhusudan, M.D. & Karanth, K.U. (2012) Optimizing individual identification and survey effort for photographic capture-recapture sampling of species with temporally variable morphological traits. Animal Conservation, 15, 174-183.
55;319;AnimCons;2012;Vynne;3;22;2004-2008;5;Brazil;Landscape;USA;Chrysocyon brachyurus;Vertebrates;Population;Methods;Non experimental;0;0;0;0;1;2;"We present results from a 4-year study that employed
detection dogs to survey scats of wild maned wolves
(Chrysocyon brachyurus) in Brazil (Vynne et al., 2011). Scat
detection dogs enable efficient sampling of wildlife populations
(Long et al., 2007; Vynne et al., 2011), yet the effectiveness
of this sampling method means that a large number
of old and degraded samples are encountered. Because
factors influencing ability to extract DNA from maned wolf
scat had not been studied, and because samples collected in
the tropics may be particularly susceptible to degradation of
DNA and hormones, we sought to quantify factors affecting
sample quality of field-collected scat. We examined the
influence of extraction method, habitat and season in which
the sample was collected, sample condition (moisture level,
strength of odor, presence of mold or invertebrates on the
sample) and food items (amount of fruit) on the ability to
amplify DNA. To determine whether sample quality influences
hormone levels, we measured fecal glucocorticoid
metabolites and thyroid hormone levels in samples and analyzed
these mean values with respect to whether or not the
sample amplified nuclear DNA (nDNA), and the amount of
odor, moisture and fruit in the sample.";EBN;Vynne, C., Baker, M.R., Breuer, Z.K. & Wasser, S.K. (2012) Factors influencing degradation of DNA and hormones in maned wolf scat. Animal Conservation, 15, 184-194.
155;385;AnimCons;2011;Greve;4;16;2005-2006;2;South Africa;Landscape;South Africa;Birds;Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;2;2;"In this paper, we provide one of the most detailed
comparisons to date of the biodiversity found inside and
outside PAs for a taxonomic group for which the designation
of these areas was not a primary or necessarily intentional
goal";DB;Greve, M., Chown, S.L., van Rensburg, B.J., Dallimer, M. & Gaston, K.J. (2011) The ecological effectiveness of protected areas: a case study for South African birds. Animal Conservation, 14, 295-305.
148;386;AnimCons;2011;Alda;3;11;2002-2004;3;Spain;Landscape;Spain;Tetrao urogallus cantabricus;Vertebrates;Population;Ecological processes;Non experimental;1;0;0;0;0;0;"the objective of our study was to characterize the genetic
structure across the entire distribution range of the subspecies,
and to determine whether there is a significant effect of
forest fragmentation and on its genetic diversity";DB;Alda, F., Sastre, P., De La Cruz-Cardiel, P.J. & Doadrio, I. (2011) Population genetics of the endangered Cantabrian capercaillie in northern Spain. Animal Conservation, 14, 249-260.
14;399;AnimCons;2011;Licona;4;11;2008-2009;2;Peru;Landscape;USA;Ungulates (deer, peccary, tapir);Vertebrates;Community;Ecological processes;Non experimental;0;0;0;0;1;1;"The goal of our study was to
determine whether area designation, anthropogenic factors
or habitat characteristics influenced the occurrence of ungulates
in the Amazon rainforest of south-eastern Peru. Our
objectives were to (1) determine whether community-based
conservation within a biosphere reserve framework influenced
the occurrence of lowland tapir, white-lipped peccary,
collared peccary, red brocket deer and grey brocket deer; (2)
determine how human access to the forest influenced ungulate
occurrence; (3) identify habitat characteristics influencing
ungulate occurrence; (4) make recommendations for the selection of protected areas and management of Neotropical
ungulates.";EBN;Licona, M., McCleery, R., Collier, B., Brightsmith, D.J. & Lopez, R. (2011) Using ungulate occurrence to evaluate community-based conservation within a biosphere reserve model. Animal Conservation, 14, 206-214.
23;427;AnimCons;2010;Navarro-Gonzalez;6;7;2001-2008;8;Spain;Landscape;Spain;Oryctolagus cuniculus;Vertebrates;Population;Ecological processes;Non experimental;1;0;0;0;0;1;"In this work, we aim to illustrate the fact that
the combination of the population abundance of each hunting estate together with the intensity of restocking predisposed to the presence of mange. We also describe the population trend in mange-affected versus non-affected hunting estates.";EBN;Navarro-Gonzalez, N., Serrano, E., Casas-Diaz, E., Velarde, R., Marco, I., Rossi, L. & Lavin, S. (2010) Game restocking and the introduction of sarcoptic mange in wild rabbit in north-eastern Spain. Animal Conservation, 13, 586-591.
